worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes,pv_benefits,ben_tax_ratio
high,max,2005,65,88,2013667.3622933333,1443512.5612320043,0.7168575049992424
high,max,2010,65,88,2186059.435606081,1553371.0036933618,0.7105804070979856
high,none,1930,65,83,435792.08025713166,389957.96674170916,0.894825730911909
high,none,1935,65,84,580086.5905547764,492305.9476933277,0.8486766557084209
high,none,1940,65,84,659083.962558419,600810.7336184802,0.911584513885401
high,none,1945,65,84,696596.3389779187,631476.7227960081,0.9065174297679236
high,none,1950,65,85,664823.6801073892,656963.7502048123,0.9881774218672426
high,none,1955,65,85,629729.5334840463,696838.5066203875,1.1065679304654072
high,none,1960,65,86,576608.1223483224,623944.9447467931,1.0820953097325172
high,none,1965,65,86,614421.5967820357,669306.0256871607,1.0893269852371337
high,none,1970,65,86,670067.1542488782,721704.3198108578,1.0770626723523897
high,none,1975,65,86,754543.7523682197,782814.7977244931,1.0374677349955408
high,none,1980,65,87,859638.3888620471,876124.5411436493,1.0191780084454183
high,none,1985,65,87,977690.940375843,944653.5391619424,0.9662087477243061
high,none,1990,65,87,1105105.155825509,1015061.2068845285,0.9185200173338093
high,none,1995,65,88,1235746.4361586447,1125646.0464139206,0.9109037367835957
high,none,2000,65,88,1363359.2411731249,1208961.013558853,0.8867516183911898
high,none,2005,65,88,1484191.0266667518,1300318.4416661705,0.8761125881393255
high,none,2010,65,88,1605997.372157116,1399127.642539396,0.8711892477508476
low,high,1930,65,83,284847.06653860677,292372.70368814014,1.0264199215424021
low,high,1935,65,84,375093.009802386,369107.5036409391,0.9840426080864575
low,high,1940,65,84,423031.02462823916,450402.9137976675,1.0647042121638308
low,high,1945,65,84,446256.08063051815,473282.27331881155,1.0605620715578998
low,high,1950,65,85,425902.7527010097,492376.1870308833,1.1560765548198721
low,high,1955,65,85,403420.3610728883,522242.2592928268,1.294536195208229
low,high,1960,65,86,369389.95037430077,467393.32420985855,1.2653114242448975
low,high,1965,65,86,393612.97714663396,501367.6223623998,1.2737578572660313
low,high,1970,65,86,429260.74641931936,540639.4839360551,1.259466392969313
low,high,1975,65,86,483376.80335528334,586427.2251387475,1.21318859545629
low,high,1980,65,87,550702.8352666216,656338.7552080653,1.1918201853642179
low,high,1985,65,87,626329.5437702303,707689.8463138466,1.1299001513705755
low,high,1990,65,87,707954.3807529245,760440.0585489988,1.0741370902179526
low,high,1995,65,88,791646.3657351286,843302.9192643546,1.065252056682225
low,high,2000,65,88,873399.2048168535,905721.3859005664,1.03700733971986
low,high,2005,65,88,950807.5330737366,974162.9138238482,1.0245637312891382
low,high,2010,65,88,1028839.9492106306,1048198.2686775873,1.0188156763175935
low,low,1930,65,83,133902.05282008188,184944.75161725836,1.3811942962947719
low,low,1935,65,84,170099.4290499956,228864.83938835762,1.3454768229768113
low,low,1940,65,84,186978.08669805934,275780.2729225548,1.4749336555566388
low,low,1945,65,84,195915.82228311754,289153.1264723121,1.4759049223418899
low,low,1950,65,85,186981.82529463017,300711.36837882095,1.608238490051027
low,low,1955,65,85,177111.1886617303,319017.2181425224,1.8012256625515763
low,low,1960,65,86,162171.77840027912,286018.8259032166,1.7636781733826281
low,low,1965,65,86,172804.3575112323,306581.5922972429,1.7741542905092256
low,low,1970,65,86,188454.3385897605,330574.9290793835,1.7541380662983843
low,low,1975,65,86,212209.85434234707,358649.3541030421,1.6900692722989756
low,low,1980,65,87,241767.28167119596,401389.08729211916,1.6602291448104596
low,low,1985,65,87,274968.14716461755,432781.6641626946,1.5739338124266353
low,low,1990,65,87,310803.60568033997,465034.30129799375,1.4962320024571378
low,low,1995,65,88,347546.2953116126,515738.11917010276,1.4839407760272285
low,low,2000,65,88,383439.1684605822,553907.9122526423,1.4445783264042948
low,low,2005,65,88,417424.03948072135,595798.3794622907,1.4273216755878946
low,low,2010,65,88,451682.52626414533,641032.5872394771,1.4192105073035286
low,max,1930,65,83,333579.9620411816,320467.8083345096,0.96069262186362
low,max,1935,65,84,448692.72723886586,412393.596919923,0.9191002480866629
low,max,1940,65,84,526683.5995722973,516069.63577001507,0.9798475520959804
low,max,1945,65,84,593965.4550897818,558726.6605456141,0.9406719797553864
low,max,1950,65,85,608844.3199112841,594885.293430646,0.9770729133472541
low,max,1955,65,85,614452.8253919035,635317.6429790945,1.03395674448056
low,max,1960,65,86,580934.19790451,569600.3468573147,0.9804903015038922
low,max,1965,65,86,616673.9163206378,611680.5457446224,0.9919027375021662
low,max,1970,65,86,666298.1265388831,660030.7934100665,0.9905938004638066
low,max,1975,65,86,741872.7393911575,715427.0581128665,0.9643528062508476
low,max,1980,65,87,841809.8867018115,801317.8600395427,0.9518988463999687
low,max,1985,65,87,953314.6363047115,863298.5021889328,0.9055756298207023
low,max,1990,65,87,1077465.2606248413,926550.5308181101,0.8599354101502882
low,max,1995,65,88,1211292.6536093736,1026550.512440163,0.8474834792246766
low,max,2000,65,88,1349363.1417139694,1102288.7070653234,0.8168955212939857
low,max,2005,65,88,1480283.868700318,1186204.1730838334,0.8013356074232673
low,max,2010,65,88,1608902.012659596,1276598.2766682853,0.793459307417985
low,medium,1930,65,83,215742.7252999453,245128.40693372252,1.1362070567752518
low,medium,1935,65,84,274059.876297093,303473.78840199654,1.1073265904601721
low,medium,1940,65,84,301246.960998544,365369.537492509,1.212857173003232
low,medium,1945,65,84,315641.09189831174,383201.4456888299,1.2140416933175597
low,medium,1950,65,85,301243.61287946405,398432.56304151507,1.3226257620304767
low,medium,1955,65,85,285339.7981827187,422605.0038062966,1.4810587464412501
low,medium,1960,65,86,261271.8120610327,379327.7071073294,1.45185086793335
low,medium,1965,65,86,278405.7683384398,406295.1770355308,1.45936335823913
low,medium,1970,65,86,303621.8497431029,438063.7091849872,1.4427937566273201
low,medium,1975,65,86,341899.309863369,475148.54703455337,1.389732395846116
low,medium,1980,65,87,389521.1368799606,531782.0083968485,1.3652199022019404
low,medium,1985,65,87,443013.4441521861,573350.2984924258,1.2942051896182767
low,medium,1990,65,87,500747.1634491937,616103.7809169518,1.230368988359656
low,medium,1995,65,88,559942.4800500179,683228.2130509121,1.2201757098155537
low,medium,2000,65,88,617765.1143852876,733802.8219851864,1.1878346719454418
low,medium,2005,65,88,672516.1589109722,789288.8948947205,1.1736355839729447
low,medium,2010,65,88,727708.3763825155,849245.6758368934,1.1670137425908815
low,none,1930,65,83,133902.05282008188,184944.75161725836,1.3811942962947719
low,none,1935,65,84,170099.4290499956,228864.83938835762,1.3454768229768113
low,none,1940,65,84,186978.08669805934,275780.2729225548,1.4749336555566388
low,none,1945,65,84,195915.82228311754,289153.1264723121,1.4759049223418899
low,none,1950,65,85,186981.82529463017,300711.36837882095,1.608238490051027
low,none,1955,65,85,177111.1886617303,319017.2181425224,1.8012256625515763
low,none,1960,65,86,162171.77840027912,286018.8259032166,1.7636781733826281
low,none,1965,65,86,172804.3575112323,306581.5922972429,1.7741542905092256
low,none,1970,65,86,188454.3385897605,330574.9290793835,1.7541380662983843
