worker_type,spouse_type,birth_yr,claim_age,irr_scheduled,irr_payable
very_low,none,1930,65,0.05865252351034656,0.05865252351034656
very_low,none,1935,65,0.054381749342328416,0.054381749342328416
very_low,none,1940,65,0.0528872121118272,0.0528872121118272
very_low,none,1945,65,0.04817651855084481,0.04817651855084481
very_low,none,1950,65,0.04616514333338808,0.045757580367223605
very_low,none,1955,65,0.04625248746928247,0.04455531415928062
very_low,none,1960,65,0.04364451065093378,0.0400941425908857
very_low,none,1965,65,0.04379608645720744,0.03809946569467485
very_low,none,1970,65,0.04451812503289891,0.03655773533056297
very_low,none,1975,65,0.04508396035960892,0.03668326145422445
very_low,none,1980,65,0.04635021491290502,0.03751573098918487
very_low,none,1985,65,0.046604960031889624,0.037174554012629306
very_low,none,1990,65,0.04655120591860555,0.03649412986630215
very_low,none,1995,65,0.047101496267882945,0.0366185710088911
very_low,none,2000,65,0.046879795560850514,0.036052485051482966
very_low,none,2005,65,0.04671467134854876,0.035738225158278014
very_low,none,2010,65,0.04662595389241762,0.0356892227516308
very_low,very_low,1930,65,0.05865252351034656,0.05865252351034656
very_low,very_low,1935,65,0.054381749342328416,0.054381749342328416
very_low,very_low,1940,65,0.0528872121118272,0.0528872121118272
very_low,very_low,1945,65,0.04817651855084481,0.04817651855084481
very_low,very_low,1950,65,0.04616514333338808,0.045757580367223605
very_low,very_low,1955,65,0.04625248746928247,0.04455531415928062
very_low,very_low,1960,65,0.04364451065093378,0.0400941425908857
very_low,very_low,1965,65,0.04379608645720744,0.03809946569467485
very_low,very_low,1970,65,0.04451812503289891,0.03655773533056297
very_low,very_low,1975,65,0.04508396035960892,0.03668326145422445
very_low,very_low,1980,65,0.04635021491290502,0.03751573098918487
very_low,very_low,1985,65,0.046604960031889624,0.037174554012629306
very_low,very_low,1990,65,0.04655120591860555,0.03649412986630215
very_low,very_low,1995,65,0.047101496267882945,0.0366185710088911
very_low,very_low,2000,65,0.046879795560850514,0.036052485051482966
very_low,very_low,2005,65,0.04671467134854876,0.035738225158278014
very_low,very_low,2010,65,0.04662595389241762,0.0356892227516308
very_low,low,1930,65,0.05190610843547117,0.05190610843547117
very_low,low,1935,65,0.04788656530333079,0.04788656530333079
very_low,low,1940,65,0.04650213743759099,0.04650213743759099
