birth_yr,age,year,real_earnings,real_ben_sched,real_ben_payable
1930,21,1951,9373.284795925709,NA,NA
1930,22,1952,12072.211757877545,NA,NA
1930,23,1953,16057.443761536486,NA,NA
1930,24,1954,19127.265556822495,NA,NA
1930,25,1955,22167.633835304972,NA,NA
1930,26,1956,25225.955970153722,NA,NA
1930,27,1957,27266.366129291924,NA,NA
1930,28,1958,28771.07266237919,NA,NA
1930,29,1959,31536.851961969347,NA,NA
1930,30,1960,33928.861763107336,NA,NA
1930,31,1961,35646.346281195045,NA,NA
1930,32,1962,38338.796745458516,NA,NA
1930,33,1963,39995.44135480065,NA,NA
1930,34,1964,42143.41371694323,NA,NA
1930,35,1965,43105.60577102393,NA,NA
1930,36,1966,45283.596244278546,NA,NA
1930,37,1967,47261.06529631046,NA,NA
1930,38,1968,49149.94963845821,NA,NA
1930,39,1969,50153.26911303974,NA,NA
1930,40,1970,50591.107888702565,NA,NA
1930,41,1971,51042.75592186955,NA,NA
1930,42,1972,54154.856679783035,NA,NA
1930,43,1973,54993.40279894816,NA,NA
1930,44,1974,53816.19772755739,NA,NA
1930,45,1975,53173.52691592942,NA,NA
1930,46,1976,54119.88313949663,NA,NA
1930,47,1977,54189.790635470104,NA,NA
1930,48,1978,54710.38826374757,NA,NA
1930,49,1979,54876.11917590037,NA,NA
1930,50,1980,54864.368335358144,NA,NA
1930,51,1981,55043.189307740526,NA,NA
1930,52,1982,54450.335066377185,NA,NA
1930,53,1983,54641.070807968244,NA,NA
1930,54,1984,55397.563332829275,NA,NA
1930,55,1985,55412.28375670958,NA,NA
1930,56,1986,54837.057323071356,NA,NA
1930,57,1987,55654.07742852463,NA,NA
1930,58,1988,54983.729822693975,NA,NA
1930,59,1989,53378.17901359445,NA,NA
1930,60,1990,51711.07122854297,NA,NA
1930,61,1991,49005.368662814784,NA,NA
1930,62,1992,48691.16116083517,NA,NA
1930,63,1993,46306.13875654223,NA,NA
1930,64,1994,44950.0309243771,NA,NA
1930,65,1995,NA,22916.62665545616,22916.62665545616
1930,66,1996,NA,23103.070326826102,23103.070326826102
1930,67,1997,NA,23367.24648721372,23367.24648721372
1930,68,1998,NA,23599.77165056716,23599.77165056716
1930,69,1999,NA,23557.300490993915,23557.300490993915
1930,70,2000,NA,23617.79560098663,23617.79560098663
1930,71,2001,NA,23899.102062025406,23899.102062025406
1930,72,2002,NA,24156.696519584453,24156.696519584453
1930,73,2003,NA,24014.873071383223,24014.873071383223
1930,74,2004,NA,23881.81652601245,23881.81652601245
1930,75,2005,NA,23771.336990734733,23771.336990734733
1930,76,2006,NA,24011.726555601672,24011.726555601672
1930,77,2007,NA,24141.192746886954,24141.192746886954
1930,78,2008,NA,24237.238635292917,24237.238635292917
1930,79,2009,NA,25487.888447807214,25487.888447807214
1930,80,2010,NA,25181.915466812323,25181.915466812323
1930,81,2011,NA,24672.942450852417,24672.942450852417
1930,82,2012,NA,25080.218396878783,25080.218396878783
1930,83,2013,NA,25090.816439761362,25090.816439761362
1935,21,1956,10263.4854999652,NA,NA
1935,22,1957,12633.035774929847,NA,NA
1935,23,1958,15886.961753031323,NA,NA
1935,24,1959,19673.36150135932,NA,NA
1935,25,1960,22721.882480886907,NA,NA
1935,26,1961,25217.47001407218,NA,NA
1935,27,1962,28338.88872818894,NA,NA
1935,28,1963,30708.043223027704,NA,NA
1935,29,1964,33332.805329906434,NA,NA
1935,30,1965,34965.91129139322,NA,NA
1935,31,1966,37535.598500904525,NA,NA
1935,32,1967,39922.15273001612,NA,NA
1935,33,1968,42147.37712794848,NA,NA
1935,34,1969,43678.979979067844,NA,NA
1935,35,1970,44553.67068280174,NA,NA
1935,36,1971,45374.92458852763,NA,NA
1935,37,1972,48579.375662604456,NA,NA
1935,38,1973,49650.5690799972,NA,NA
1935,39,1974,48834.88895558565,NA,NA
1935,40,1975,48601.71370692466,NA,NA
1935,41,1976,49704.82548269858,NA,NA
1935,42,1977,50003.79924810721,NA,NA
1935,43,1978,50832.712335965894,NA,NA
1935,44,1979,51392.02212051346,NA,NA
1935,45,1980,51613.24793032325,NA,NA
1935,46,1981,52130.82338248006,NA,NA
1935,47,1982,51975.13357816597,NA,NA
1935,48,1983,52510.41233681441,NA,NA
1935,49,1984,53602.02673005786,NA,NA
1935,50,1985,54171.55937096912,NA,NA
1935,51,1986,54556.82902526803,NA,NA
1935,52,1987,56379.2179918631,NA,NA
1935,53,1988,56819.64197883844,NA,NA
1935,54,1989,56390.91049342823,NA,NA
1935,55,1990,56283.93930912975,NA,NA
1935,56,1991,55367.41763013926,NA,NA
1935,57,1992,55653.71248797437,NA,NA
1935,58,1993,53449.767286623486,NA,NA
1935,59,1994,52149.16986845815,NA,NA
1935,60,1995,51035.407212649785,NA,NA
1935,61,1996,49652.62545724163,NA,NA
1935,62,1997,49924.663575766106,NA,NA
1935,63,1998,50149.496912898605,NA,NA
1935,64,1999,50405.475947853956,NA,NA
1935,65,2000,NA,23488.38302235109,23488.38302235109
1935,66,2001,NA,23772.540179967018,23772.540179967018
1935,67,2002,NA,24032.07039824524,24032.07039824524
1935,68,2003,NA,23892.659976872368,23892.659976872368
1935,69,2004,NA,23742.96875551238,23742.96875551238
1935,70,2005,NA,23655.942150973886,23655.942150973886
1935,71,2006,NA,23881.12664426584,23881.12664426584
1935,72,2007,NA,24014.038232795,24014.038232795
1935,73,2008,NA,24112.488142317146,24112.488142317146
1935,74,2009,NA,25346.190666304465,25346.190666304465
1935,75,2010,NA,25041.91871647563,25041.91871647563
1935,76,2011,NA,24535.775293377214,24535.775293377214
1935,77,2012,NA,24945.559506157286,24945.559506157286
1935,78,2013,NA,24958.411075963148,24958.411075963148
1935,79,2014,NA,24889.195243839396,24889.195243839396
1935,80,2015,NA,25079.357037669568,25079.357037669568
1935,81,2016,NA,24843.219310464214,24843.219310464214
1935,82,2017,NA,24484.653259198047,24484.653259198047
1935,83,2018,NA,24411.625232793755,24411.625232793755
1935,84,2019,NA,24694.150917441053,24694.150917441053
1940,21,1961,10197.949736866207,NA,NA
1940,22,1962,13050.50730860238,NA,NA
1940,23,1963,16853.924872220305,NA,NA
1940,24,1964,20667.893407343807,NA,NA
1940,25,1965,23274.69426133282,NA,NA
1940,26,1966,26393.315591082843,NA,NA
1940,27,1967,29330.69835630033,NA,NA
1940,28,1968,32164.463893413296,NA,NA
1940,29,1969,34338.297310886795,NA,NA
1940,30,1970,35921.8506995357,NA,NA
1940,31,1971,37383.715772784555,NA,NA
1940,32,1972,40787.44380024191,NA,NA
1940,33,1973,42319.0413390785,NA,NA
1940,34,1974,42273.43708781615,NA,NA
1940,35,1975,42542.6949364026,NA,NA
1940,36,1976,43918.193607454814,NA,NA
1940,37,1977,44584.267463829296,NA,NA
1940,38,1978,45616.402837405185,NA,NA
1940,39,1979,46352.91114036734,NA,NA
1940,40,1980,46890.128092953084,NA,NA
1940,41,1981,47588.32313821765,NA,NA
