birth_yr,claim_age,death_age,monthly_real_at_65_scheduled,monthly_real_at_65_payable,pv_benefits_scheduled,pv_benefits_payable,pv_taxes,ben_tax_ratio_scheduled,ben_tax_ratio_payable,rep_rate_career_scheduled,rep_rate_career_payable,rep_rate_awi_scheduled,rep_rate_awi_payable,irr_scheduled,irr_payable,marginal_irr_age64_scheduled,marginal_irr_age64_payable
1980,65,87,2244.226922277742,1736.90589156429,490440.98562640615,367991.35346362065,342680.5088151809,1.4311901990635756,1.0738613489747406,0.6100876837790777,0.47217368342199634,0.2603037731886456,0.20146053536729616,0.03182926973720326,0.022700291251946583,-0.8443719264801213,-0.8832471386352669
1985,65,87,2307.2663063069813,1765.987399013129,504141.68109003437,371626.7337542943,360271.8322704837,1.3993369337615507,1.0315175944015673,0.630186375173822,0.48234622702398133,0.2490494557169507,0.19062307602939335,0.03298699226100535,0.02326504032858635,-0.8465550734218664,-0.8869160987724343
1990,65,87,2366.671985659819,1780.9412734553207,517209.55990060134,374123.5194878928,376395.05019100575,1.3741136065369024,0.9939650356667543,0.6479800932477583,0.4876106614836299,0.23796988189611887,0.17907440789262122,0.033926405377889636,0.023594574514510757,-0.8532436826666693,-0.8938638137406
1995,65,88,2431.2561202920147,1788.2095421517993,548806.4292167511,390169.11148977553,389443.9500562063,1.409205173523802,1.0018620431347427,0.6660344213839947,0.4898739782205099,0.22761970462504266,0.1674162275192082,0.0356688574612255,0.024958898116453975,-0.8423390863298882,-0.8879117016957603
2000,65,88,2503.945830927299,1809.1272819774356,565183.8353009258,397489.6465308642,398115.7812133872,1.4196469016584683,0.9984272548035783,0.6858822831099148,0.4955571862908825,0.21796614377586007,0.15748283863884188,0.03652256326156658,0.025504813364376464,-0.8455228355104261,-0.8913687217956695
2005,65,88,2589.5211531401187,1837.2303436392065,584493.6140725184,409168.88390338136,402497.6282447844,1.4521666043633197,1.0165746458872045,0.7082605764390546,0.5025013295061571,0.2094931526176996,0.14863256718608112,0.03744722097267516,0.02632262693818346,-0.8438969132640617,-0.890725103875257
2010,65,88,2684.107918526539,1874.1128618779437,605825.553100277,424700.2091336719,404918.78574510023,1.4961655878362956,1.0488528171202811,0.7332400889977936,0.5119670010845379,0.20183591393972578,0.1409270021121134,0.038469703928585584,0.02741947443107188,-0.8386400506914707,-0.8868815742175777
2015,65,88,2785.8068842213574,1930.1529605970275,628728.8406984501,443161.04333218554,405786.735918936,1.5494070777711453,1.0921033244928828,0.7605683799982793,0.5269616206008043,0.1946751230408952,0.13488112446710343,0.039582125055698386,0.02872295771191672,-0.8437932734028665,-0.8898989200175885
2020,65,89,2895.746174931379,2015.8937787824564,673362.0984745553,477946.3650934623,405909.7621454148,1.6588960435825322,1.17746950102235,0.7904273673765799,0.5502614926225715,0.18802167164823214,0.130892590460188,0.041533686693191595,0.031040683987663666,-0.8425122612305094,-0.8882195254523368
2025,65,89,3014.202735301916,2127.917013254624,699940.4953063779,499228.4516787596,405788.7651683854,1.7248887977860397,1.2302668149809437,0.8228377085203787,0.5808933614853821,0.18180357590648358,0.12834668275993882,0.042763348633606896,0.03243954194296455,-0.8392715660286822,-0.8853598565159275
2030,65,89,3141.767613507222,2242.866343122582,728092.651816409,520127.69430415175,405619.4626697252,1.7950140928253655,1.2823045789784122,0.8578390660237143,0.6123999625970034,0.17611643024079748,0.12572719005688254,0.04403861152533594,0.03378102315143052,-0.8379216063728744,-0.8842159249934735
2035,65,89,3277.2460321982994,2340.8575707722184,757329.2504666414,540941.9653284117,405509.80768419005,1.8675978635181307,1.333979980453878,0.8949660234312373,0.6392525830987581,0.17079070007179933,0.12199166597583293,0.045327675277535874,0.0350814534163173,-0.8420897212081924,-0.8872085073928297
2040,65,89,3422.3417953755034,2444.4959648333756,790823.0476826321,564865.7745318268,406796.584859536,1.9440257787702366,1.3885705916800435,0.934631252126847,0.6675844965334803,0.1658032666021479,0.11842926288450167,0.046638606899251034,0.036409400345594936,-0.8411966671575438,-0.8865706204856406
