worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t,delta_pv_ben,net_tax
high,high,1940,65,49,1989,35174.2125,4263.114555000001,1100413.7662590798,16180.712511498248,0.00967188125212593
high,high,1940,65,50,1990,36798.965,4563.071659999999,1116637.891364517,16224.125105437124,0.0079175339714345
high,high,1940,65,51,1991,38104.8652,4725.003284799999,1132832.0641099052,16194.172745388234,0.00315100690055915
high,high,1940,65,52,1992,39861.75996,4942.858235039999,1148941.950559602,16109.886449696962,9.192373895183012e-4
high,high,1940,65,53,1993,39950.12109,4953.815015159999,1163049.5166924638,14107.566132861655,0.00989529599150344
high,high,1940,65,54,1994,40713.55042,5048.480252079999,1170457.0087334209,7407.492040957091,0.06103615506891446
high,high,1940,65,55,1995,41900.79936,5195.699120639999,1177778.123573013,7321.114839592483,0.05936144475843795
high,high,1940,65,56,1996,43120.7296,5346.9704704,1183177.8056095582,5399.682036544895,0.0746171647433569
high,high,1940,65,57,1997,44594.676,5529.739823999999,1187749.972264225,4572.16665466642,0.0808987190072604
high,high,1940,65,58,1998,45745.382399999995,5672.427417599999,1191724.074937675,3974.102673450019,0.08543379746287198
high,high,1940,65,59,1999,46893.08376,5814.742386239999,1194648.5881539006,2924.513216225896,0.09468055047137346
high,high,1940,65,60,2000,47524.82396,5893.078171040001,1197108.49943064,2459.9112767393235,0.0981575038252442
high,high,1940,65,61,2001,45991.92224,5702.99835776,1198819.1653253401,1710.6658946999814,0.10446403318212316
high,high,1940,65,62,2002,44857.06941,5562.27660684,1199893.4061133035,1074.2407879638486,0.1108053613026287
high,high,1940,65,63,2003,44386.62985,5503.9421014,1200747.4944522306,854.0883389269002,0.1129635827218452
high,high,1940,65,64,2004,44845.87590000001,5560.8886116,1201621.4672369603,873.9727847296745,0.1123416470895032
high,high,1945,65,21,1966,2187.69348,168.45239795999998,941486.2861571299,0,0.077
high,high,1945,65,22,1967,2846.53824,222.02998272,941486.2861571299,0,0.078
high,high,1945,65,23,1968,3889.08848,295.57072448,941486.2861571299,0,0.076
high,high,1945,65,24,1969,4915.39584,412.89325056,941486.2861571299,0,0.08399999999999999
high,high,1945,65,25,1970,5815.0656,488.4655104,941486.2861571299,0,0.084
high,high,1945,65,26,1971,6711.4836399999995,617.4564948799999,941486.2861571299,0,0.092
high,high,1945,65,27,1972,7982.7222,734.4104424,941486.2861571299,0,0.092
high,high,1945,65,28,1973,9081.03168,880.8600729599999,941486.2861571299,0,0.097
high,high,1945,65,29,1974,10174.97292,1007.3223190800001,941486.2861571299,0,0.099
high,high,1945,65,30,1975,11470.49268,1135.57877532,945464.1954366312,3977.9092795012984,0.07809830966873905
high,high,1945,65,31,1976,12778.6748,1265.0888052,945671.7008524928,207.5054158613784,0.09795180592300304
high,high,1945,65,32,1977,14033.496400000002,1389.3161436000005,945888.9896786688,217.28882617608176,0.09792956807089218
high,high,1945,65,33,1978,15612.368370000002,1576.8492053700006,946134.2291012248,245.23942255601287,0.09982500422024816
high,high,1945,65,34,1979,17437.29974,1771.6296535839997,946422.7355258852,288.5064246603288,0.10024974492714592
high,high,1945,65,35,1980,19445.91684,1975.705150944,946643.5628143728,220.8272884878097,0.10057130446051912
high,high,1945,65,36,1981,21816.5904,2334.3751728,946978.1780858916,334.6152715187054,0.10542583109231272
high,high,1945,65,37,1982,23395.457400000003,2526.7093992000005,960266.1018371312,13287.923751239548,0.04224524911409188
high,high,1945,65,38,1983,24900.918159999997,2689.29916128,976112.279790185,15846.177953053848,0.02622252472733178
high,high,1945,65,39,1984,26687.405779999997,3042.36425892,992111.5762593166,15999.2964691316,0.02740648541649423
high,high,1945,65,40,1985,28144.05923,3208.42275222,1008269.658156335,16158.081897018361,0.0221173165746438
high,high,1945,65,41,1986,29256.55398,3335.2471537200004,1024720.3150811798,16450.656924844836,0.01681160013210004
high,high,1945,65,42,1987,31361.92002,3575.25888228,1041221.102074238,16500.786993058282,0.01542071733907621
high,high,1945,65,43,1988,33177.21264,4021.078171968,1057816.7178426078,16595.615768369636,0.01923150491540173
high,high,1945,65,44,1989,34711.92285,4207.085049420001,1074535.073487674,16718.355645066127,0.0144772601023469
high,high,1945,65,45,1990,36504.57328,4526.567086719999,1091255.4869104223,16720.413422748446,0.01377714929299079
high,high,1945,65,46,1991,38039.4304,4716.8893696,1108236.1107697068,16980.623859284446,0.00798469244137185
high,high,1945,65,47,1992,40114.04958,4974.142147919999,1125233.5939815298,16997.48321182304,0.00605670856731123
high,high,1945,65,48,1993,40505.30516999999,5022.657841079998,1142153.4073231106,16919.813341580797,6.372126040650691e-4
high,high,1945,65,49,1994,41568.6775,5154.516009999999,1159007.3330732633,16853.925750152674,-0.00424039678010232
high,high,1945,65,50,1995,43234.905,5361.12822,1175987.8167986604,16980.48372539715,-0.00879546358198976
high,high,1945,65,51,1996,45271.583300000006,5613.6763292,1192902.7581772238,16914.94137856341,-0.01066964293527345
