worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes_pb,pv_ben_pb,ben_tax_ratio_pb
very_low,very_low,1935,65,84,94475.40874502865,174725.5261442347,1.8494286340246064
high,high,1940,65,84,659083.962558419,600810.7336184802,0.911584513885401
high,max,1940,65,84,762736.5375024772,644725.5924791025,0.8452795438254571
high,none,1940,65,84,659083.962558419,600810.7336184802,0.911584513885401
low,high,1940,65,84,423031.02462823916,450402.9137976675,1.0647042121638308
low,low,1940,65,84,186978.08669805934,275780.2729225548,1.4749336555566388
low,max,1940,65,84,526683.5995722973,516069.63577001507,0.9798475520959804
low,medium,1940,65,84,301246.960998544,365369.537492509,1.212857173003232
low,none,1940,65,84,186978.08669805934,275780.2729225548,1.4749336555566388
max,max,1940,65,84,866389.1124465353,688640.4513397248,0.7948396874415025
max,none,1940,65,84,866389.1124465353,688640.4513397248,0.7948396874415025
medium,high,1940,65,84,537299.8989287239,527884.7678404717,0.9824769535467545
medium,max,1940,65,84,640952.473872782,571799.626701094,0.8921092436794095
medium,medium,1940,65,84,415515.8352990287,454958.8020624632,1.0949253034726079
medium,none,1940,65,84,415515.8352990287,454958.8020624632,1.0949253034726079
very_low,high,1940,65,84,381464.29610489146,450089.49391244963,1.179899399519918
very_low,low,1940,65,84,145411.35817471167,243246.13446682086,1.672813853884514
very_low,max,1940,65,84,485116.87104894966,515793.2675648418,1.0632350642630954
very_low,medium,1940,65,84,259680.23247519636,341024.30458221654,1.3132470705670285
very_low,none,1940,65,84,103844.629651364,210711.99601108694,2.0291082622039016
very_low,very_low,1940,65,84,103844.629651364,210711.99601108694,2.0291082622039016
high,high,1945,65,84,696596.3389779187,631476.7227960081,0.9065174297679236
high,max,1945,65,84,844305.7134371824,688793.7556858368,0.8158108428305503
high,none,1945,65,84,696596.3389779187,631476.7227960081,0.9065174297679236
low,high,1945,65,84,446256.08063051815,473282.27331881155,1.0605620715578998
low,low,1945,65,84,195915.82228311754,289153.1264723121,1.4759049223418899
low,max,1945,65,84,593965.4550897818,558726.6605456141,0.9406719797553864
low,medium,1945,65,84,315641.09189831174,383201.4456888299,1.2140416933175597
low,none,1945,65,84,195915.82228311754,289153.1264723121,1.4759049223418899
max,max,1945,65,84,992015.087896446,746110.7885756653,0.7521163716952962
max,none,1945,65,84,992015.087896446,746110.7885756653,0.7521163716952962
medium,high,1945,65,84,565981.3502457123,554363.243850678,0.9794726338774404
medium,max,1945,65,84,713690.724704976,611680.2767405065,0.8570663111719179
medium,medium,1945,65,84,435366.3615135059,477249.7649053477,1.0962026630772266
medium,none,1945,65,84,435366.3615135059,477249.7649053477,1.0962026630772266
very_low,high,1945,65,84,402700.6579184639,472658.2908300118,1.1737211785874768
very_low,low,1945,65,84,152360.39957106335,254968.01090843347,1.6734532833087792
very_low,max,1945,65,84,550410.0323777276,558114.1934186732,1.0139971304804607
very_low,medium,1945,65,84,272085.6691862575,357638.1653758296,1.3144322023480286
very_low,none,1945,65,84,108804.97685900916,220782.89534455485,2.02916173246972
very_low,very_low,1945,65,84,108804.97685900916,220782.89534455485,2.02916173246972
high,high,1950,65,85,664823.6801073892,645567.0011577895,0.9710349081631852
high,max,1950,65,85,847765.2473176636,713123.3835797717,0.8411802510613641
high,none,1950,65,85,664823.6801073892,645567.0011577895,0.9710349081631852
low,high,1950,65,85,425902.7527010097,483833.7138539751,1.1360192221946823
low,low,1950,65,85,186981.82529463017,295494.6287627734,1.5803387751572
low,max,1950,65,85,608844.3199112841,584565.4597852326,0.9601230407641985
low,medium,1950,65,85,301243.61287946405,391521.57689349074,1.2996842427664994
low,none,1950,65,85,186981.82529463017,295494.6287627734,1.5803387751572
max,max,1950,65,85,1030706.8145279381,780679.7660017541,0.7574217566023409
max,none,1950,65,85,1030706.8145279381,780679.7660017541,0.7574217566023409
medium,high,1950,65,85,540164.5402858437,566557.7630909989,1.0488614502373452
medium,max,1950,65,85,723106.107496118,634114.1455129811,0.8769309772651662
medium,medium,1950,65,85,415505.40046429797,487548.5250242081,1.17338673451514
medium,none,1950,65,85,415505.40046429797,487548.5250242081,1.17338673451514
very_low,high,1950,65,85,384332.4234703932,483189.10491840873,1.2572166057585588
very_low,low,1950,65,85,145411.49606401366,260593.3251315719,1.7921095111823375
very_low,max,1950,65,85,567273.9906806677,583941.9631312431,1.0293825783032564
very_low,medium,1950,65,85,259673.28364884754,365412.05600446183,1.407199273139717
very_low,none,1950,65,85,103841.16683339715,225692.02150037044,2.1734349524641887
very_low,very_low,1950,65,85,103841.16683339715,225692.02150037044,2.1734349524641887
high,high,1955,65,85,629729.5334840463,653022.098760396,1.036988205313289
high,max,1955,65,85,840761.9978030615,724163.071906443,0.8613175593077526
high,none,1955,65,85,629729.5334840463,653022.098760396,1.036988205313289
low,high,1955,65,85,403420.3610728883,489402.58909601474,1.2131330897490114
low,low,1955,65,85,177111.1886617303,298960.2051175951,1.6879803437409462
low,max,1955,65,85,614452.8253919035,595371.4776872385,0.9689457889749391
low,medium,1955,65,85,285339.7981827187,396034.2740534104,1.3879391398454974
low,none,1955,65,85,177111.1886617303,298960.2051175951,1.6879803437409462
max,max,1955,65,85,1051794.4621220767,795304.04505249,0.756140171576776
max,none,1955,65,85,1051794.4621220767,795304.04505249,0.756140171576776
medium,high,1955,65,85,511648.97059387673,573065.2208748108,1.1200359109677238
medium,max,1955,65,85,722681.4349128918,644206.1940208578,0.8914110186025561
medium,medium,1955,65,85,393568.4077037071,493108.34298922576,1.252916477382646
medium,none,1955,65,85,393568.4077037071,493108.34298922576,1.252916477382646
very_low,high,1955,65,85,364045.0967276577,488649.20372605964,1.3422765699042454
very_low,low,1955,65,85,137735.92431649967,263644.3148729933,1.9141289114027513
very_low,max,1955,65,85,575077.5610466729,594609.216662793,1.0339635154266347
very_low,medium,1955,65,85,245964.5338374881,369548.89836598403,1.5024479041769074
very_low,none,1955,65,85,98360.65997126908,228328.42462839148,2.321338883808686
very_low,very_low,1955,65,85,98360.65997126908,228328.42462839148,2.321338883808686
high,high,1960,65,86,576608.1223483224,550910.7308130979,0.9554335248858998
high,max,1960,65,86,788152.3698785317,611861.8371507495,0.776324300395174
high,none,1960,65,86,576608.1223483224,550910.7308130979,0.9554335248858998
low,high,1960,65,86,369389.95037430077,412683.9620735168,1.1172040865089763
low,low,1960,65,86,162171.77840027912,252542.5550915045,1.5572534110600211
low,max,1960,65,86,580934.19790451,502925.46872587345,0.8657184764470364
low,medium,1960,65,86,261271.8120610327,334928.5985392251,1.2819163150328146
low,none,1960,65,86,162171.77840027912,252542.5550915045,1.5572534110600211
max,max,1960,65,86,999696.6174087409,672812.9434884012,0.6730171251677964
max,none,1960,65,86,999696.6174087409,672812.9434884012,0.6730171251677964
medium,high,1960,65,86,468489.98403505434,484112.6864000218,1.0333469292777846
medium,max,1960,65,86,680034.2315652636,545063.7927376735,0.8015240519334991
medium,medium,1960,65,86,360371.84572178626,417314.6419869457,1.1580112235213855
medium,none,1960,65,86,360371.84572178626,417314.6419869457,1.1580112235213855
very_low,high,1960,65,86,333336.92026355333,411532.5153389544,1.2345842609140794
very_low,low,1960,65,86,126118.74828953168,222620.99359798682,1.7651697040864556
very_low,max,1960,65,86,544881.1677937625,501776.3339850263,0.9208913129017309
very_low,medium,1960,65,86,225218.78195028525,312623.38520520856,1.388087540914847
very_low,none,1960,65,86,90065.71817878423,192699.43210446913,2.139542502974913
very_low,very_low,1960,65,86,90065.71817878423,192699.43210446913,2.139542502974913
high,high,1965,65,86,614421.5967820357,553717.7685790594,0.901201669145574
high,max,1965,65,86,837482.5359560394,615338.699823515,0.7347480973093569
high,none,1965,65,86,614421.5967820357,553717.7685790594,0.901201669145574
low,high,1965,65,86,393612.97714663396,414781.8949287954,1.0537810463862713
low,low,1965,65,86,172804.3575112323,253637.65816184733,1.4677735088095847
low,max,1965,65,86,616673.9163206378,506043.1672441439,0.8206008943323431
low,medium,1965,65,86,278405.7683384398,336128.9692319378,1.2073347877739646
low,none,1965,65,86,172804.3575112323,253637.65816184733,1.4677735088095847
max,max,1965,65,86,1060543.4751300432,676959.6310679708,0.6383138899468146
max,none,1965,65,86,1060543.4751300432,676959.6310679708,0.6383138899468146
medium,high,1965,65,86,499214.3879738415,486169.02444054384,0.9738682140427787
medium,max,1965,65,86,722275.3271478453,547789.9556849995,0.7584226334410981
medium,medium,1965,65,86,384007.1791656473,418620.28030202823,1.090136599038556
medium,none,1965,65,86,384007.1791656473,418620.28030202823,1.090136599038556
very_low,high,1965,65,86,355198.3391412876,413640.2310370393,1.1645331226408275
very_low,low,1965,65,86,134389.71950588594,223650.76924050035,1.6641955207794372
very_low,max,1965,65,86,578259.2783152914,504896.5031633021,0.8731316938558679
very_low,medium,1965,65,86,239991.13033309346,313615.5831560696,1.3067798910767652
very_low,none,1965,65,86,95975.08150053959,193663.8803191534,2.01785585686702
very_low,very_low,1965,65,86,95975.08150053959,193663.8803191534,2.01785585686702
high,high,1970,65,86,670067.1542488782,558669.1163081842,0.8337509349110429
high,max,1970,65,86,907104.5343684419,621079.8305044689,0.6846838561300838
high,none,1970,65,86,670067.1542488782,558669.1163081842,0.8337509349110429
low,high,1970,65,86,429260.74641931936,418507.21151036944,0.974948711246834
low,low,1970,65,86,188454.3385897605,255897.25516865158,1.3578740456896836
low,max,1970,65,86,666298.1265388831,510927.6098265627,0.766815318062802
low,medium,1970,65,86,303621.8497431029,339103.9353019168,1.1168627540766107
low,none,1970,65,86,188454.3385897605,255897.25516865158,1.3578740456896836
max,max,1970,65,86,1144141.9144880057,683490.5447007535,0.5973826638512846
max,none,1970,65,86,1144141.9144880057,683490.5447007535,0.5973826638512846
medium,high,1970,65,86,544428.2575726619,490489.8658716831,0.9009265390788797
medium,max,1970,65,86,781465.6376922255,552900.5800679678,0.7075174561747315
medium,medium,1970,65,86,418789.36089644535,422310.61543518206,1.0084081757263348
medium,none,1970,65,86,418789.36089644535,422310.61543518206,1.0084081757263348
very_low,high,1970,65,86,387368.7153654119,417349.2532636297,1.0773953515320323
very_low,low,1970,65,86,146562.307535853,225653.84879450363,1.5396444869654005
very_low,max,1970,65,86,624406.0954849756,509765.07590600883,0.8163999031913274
very_low,medium,1970,65,86,261729.81868919544,316397.8393790725,1.2088719617950578
very_low,none,1970,65,86,104670.27648194552,195410.44242035568,1.8669143618251725
very_low,very_low,1970,65,86,104670.27648194552,195410.44242035568,1.8669143618251725
high,high,1975,65,86,754543.7523682197,597269.1074856417,0.7915632534376517
high,max,1975,65,86,1013039.6884040938,663736.0045677414,0.6551924985420533
high,none,1975,65,86,754543.7523682197,597269.1074856417,0.7915632534376517
low,high,1975,65,86,483376.80335528334,447429.9680480849,0.9256339256296967
low,low,1975,65,86,212209.85434234707,273641.08168684796,1.2894833867865396
low,max,1975,65,86,741872.7393911575,545853.866074178,0.7357783041363012
low,medium,1975,65,86,341899.309863369,362527.22942159686,1.0603333173338996
low,none,1975,65,86,212209.85434234707,273641.08168684796,1.2894833867865396
max,max,1975,65,86,1271535.624439968,730202.9016498411,0.5742685361029108
max,none,1975,65,86,1271535.624439968,730202.9016498411,0.5742685361029108
medium,high,1975,65,86,613066.2588763053,524341.2423209938,0.855276627492212
medium,max,1975,65,86,871562.1949121794,590808.1394030935,0.6778726094959002
medium,medium,1975,65,86,471588.76538439083,451413.3771563458,0.9572182594053102
medium,none,1975,65,86,471588.76538439083,451413.3771563458,0.9572182594053102
very_low,high,1975,65,86,436204.7768169957,446186.209565965,1.0228824471428402
very_low,low,1975,65,86,165037.8278040594,241298.75106745173,1.4620814771867505
very_low,max,1975,65,86,694700.7128528699,544610.5901502954,0.7839499515032714
very_low,medium,1975,65,86,294727.2833250813,338201.28341762465,1.1475058555898674
very_low,none,1975,65,86,117865.80126577175,208956.4204480555,1.7728333257319184
very_low,very_low,1975,65,86,117865.80126577175,208956.4204480555,1.7728333257319184
high,high,1980,65,87,859638.3888620471,657379.8843425596,0.7647167609775679
high,max,1980,65,87,1150745.4402972371,730842.1148189609,0.6351032028683813
high,none,1980,65,87,859638.3888620471,657379.8843425596,0.7647167609775679
low,high,1980,65,87,550702.8352666216,492468.4597967177,0.8942544476973505
low,low,1980,65,87,241767.28167119596,301173.1867160201,1.2457152375382883
low,max,1980,65,87,841809.8867018115,601250.354057882,0.7142353202972761
low,medium,1980,65,87,389521.1368799606,399010.6303544334,1.0243619474683274
low,none,1980,65,87,241767.28167119596,301173.1867160201,1.2457152375382883
max,max,1980,65,87,1441852.491732427,804304.3452953623,0.5578270661577647
max,none,1980,65,87,1441852.491732427,804304.3452953623,0.5578270661577647
medium,high,1980,65,87,698456.6904753861,577113.9791677031,0.8262702427188516
medium,max,1980,65,87,989563.7419105761,650576.2096441045,0.6574373959862558
medium,medium,1980,65,87,537274.9920887252,496848.07399284665,0.9247556303733517
medium,none,1980,65,87,537274.9920887252,496848.07399284665,0.9247556303733517
very_low,high,1980,65,87,496960.3576545247,491106.5158872779,0.9882207067886163
very_low,low,1980,65,87,188024.8040590991,265597.3212786772,1.4125653400239464
very_low,max,1980,65,87,788067.4090897145,599890.0990537986,0.7612167336633336
very_low,medium,1980,65,87,335778.6592678637,372252.449223104,1.108624502923349
very_low,none,1980,65,87,134282.3264470022,230021.45584133425,1.7129689507734125
very_low,very_low,1980,65,87,134282.3264470022,230021.45584133425,1.7129689507734125
