worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t_sched,delta_pv_ben_sched,net_tax_sched,pv_ben_through_t_pb,delta_pv_ben_pb,net_tax_pb
high,high,1930,65,57,1987,29961.505259999994,3415.6115996399994,769189.7770791746,3153.035620964947,0.08413581907961652,769189.7770791746,3153.035620964947,0.08413581907961652
high,high,1930,65,58,1988,30644.453400000002,3714.107752080001,771728.680851658,2538.903772483347,0.09561952425744963,771728.680851658,2538.903772483347,0.09561952425744963
high,high,1930,65,59,1989,30933.207449999998,3749.10474294,773740.0157432988,2011.334891640814,0.09937756377972203,773740.0157432988,2011.334891640814,0.09937756377972203
high,high,1930,65,60,1990,31079.35444,3853.8399505599996,775251.5023414178,1511.4865981190233,0.10627419628210173,775251.5023414178,1511.4865981190233,0.10627419628210173
high,high,1930,65,61,1991,30470.8052,3778.3798447999993,776584.8495173412,1333.347175923409,0.10677510058950501,776584.8495173412,1333.347175923409,0.10677510058950501
high,high,1930,65,62,1992,30939.881579999997,3836.545315919999,777827.0193202081,1242.1698028668761,0.10707420133919889,777827.0193202081,1242.1698028668761,0.10707420133919889
high,high,1930,65,63,1993,30141.869009999995,3737.591757239999,778902.7283823002,1075.7090620921226,0.10803654528636733,778902.7283823002,1075.7090620921226,0.10803654528636733
high,high,1930,65,64,1994,29881.94074,3705.360651759999,779915.9334834183,1013.2051011180738,0.10775647531497644,779915.9334834183,1013.2051011180738,0.10775647531497644
high,high,1935,65,21,1956,1564.83548,62.5934192,492305.9476933277,0,0.04,492305.9476933277,0,0.04
high,high,1935,65,22,1957,1988.37912,89.4770604,492305.9476933277,0,0.045,492305.9476933277,0,0.045
high,high,1935,65,23,1958,2564.3124,115.39405799999999,492305.9476933277,0,0.04499999999999999,492305.9476933277,0,0.04499999999999999
high,high,1935,65,24,1959,3215.7372,160.78686000000002,492305.9476933277,0,0.05000000000000001,492305.9476933277,0,0.05000000000000001
high,high,1935,65,25,1960,3766.6928,226.001568,492305.9476933277,0,0.060000000000000005,492305.9476933277,0,0.060000000000000005
high,high,1935,65,26,1961,4221.62308,253.2973848,492305.9476933277,0,0.06,492305.9476933277,0,0.06
high,high,1935,65,27,1962,4802.076599999999,300,492305.9476933277,0,0.06247297263021587,492305.9476933277,0,0.06247297263021587
high,high,1935,65,28,1963,5267.17472,348,492305.9476933277,0,0.06606957591108731,492305.9476933277,0,0.06606957591108731
high,high,1935,65,29,1964,5798.197439999999,348,492305.9476933277,0,0.060018652969499445,492305.9476933277,0,0.060018652969499445
high,high,1935,65,30,1965,6191.43888,348,666332.2907719284,174026.3430786007,-1.0685940629765878,666332.2907719284,174026.3430786007,-1.0685940629765878
high,high,1935,65,31,1966,6839.6286,508.2,676641.2686205269,10308.9778485985,0.011030398575548498,676641.2686205269,10308.9778485985,0.011030398575548498
high,high,1935,65,32,1967,7481.2864,514.8,686266.9844463977,9625.715825870866,0.012099858813499313,686266.9844463977,9625.715825870866,0.012099858813499313
high,high,1935,65,33,1968,8240.63304,592.8000000000001,697024.1622862158,10757.177839818061,0.011233634947279829,697024.1622862158,10757.177839818061,0.011233634947279829
high,high,1935,65,34,1969,8952.621439999999,655.2,707033.4655308619,10009.303244646057,0.017763516628160118,707033.4655308619,10009.303244646057,0.017763516628160118
high,high,1935,65,35,1970,9613.41696,655.2,716852.4805319798,9819.01500111795,0.013827650580557092,716852.4805319798,9819.01500111795,0.013827650580557092
high,high,1935,65,36,1971,10291.37472,717.6,725914.0321429943,9061.551611014525,0.020084908543357927,725914.0321429943,9061.551611014525,0.020084908543357927
high,high,1935,65,37,1972,11485.418000000001,828,735529.7498547047,9615.717711710371,0.022103721324038844,735529.7498547047,9615.717711710371,0.022103721324038844
high,high,1935,65,38,1973,12385.98144,1047.6,746445.685261781,10915.935407076264,0.02848555574322872,746445.685261781,10915.935407076264,0.02848555574322872
high,high,1935,65,39,1974,13282.87704,1306.8,759043.459641532,12597.774379751063,0.03348964983573375,759043.459641532,12597.774379751063,0.03348964983573375
high,high,1935,65,40,1975,14439.52916,1395.9,771626.4229151675,12582.963273635483,0.032635564181476354,771626.4229151675,12582.963273635483,0.032635564181476354
