"","age","worker","factor"
"246",61,"max",2.404618308
"247",62,"raw",0.691
"248",62,"very_low",0.211
"249",62,"low",0.379
"250",62,"medium",0.843
"251",62,"high",1.349
"252",62,"max",2.404618308
"253",63,"raw",0.667
"254",63,"very_low",0.204
"255",63,"low",0.366
"256",63,"medium",0.814
"257",63,"high",1.303
"258",63,"max",2.404618308
"259",64,"raw",0.644
"260",64,"very_low",0.197
"261",64,"low",0.354
"262",64,"medium",0.786
"263",64,"high",1.258
"264",64,"max",2.404618308
